time,linear.velocity.x,linear.velocity.y,linear.velocity.z,angular.velocity.x,angular.velocity.y,angular.velocity.z,gps.latitude,gps.longitude,gps.height,gps.health
23.811135,-9.435671,-2.095577,0.003823,0.000295,0.179546,-0.000257,22.542758,113.958786,5.521338,5
23.832349,-9.478254,-2.103521,0.004005,0.000285,0.184626,-0.000258,22.542758,113.958783,5.521419,5
23.850988,-9.519641,-2.111228,0.004180,0.000279,0.190243,-0.000259,22.542757,113.958782,5.521502,5
23.877675,-9.559829,-2.118695,0.004346,0.000282,0.186809,-0.000258,22.542757,113.958780,5.521590,5
23.898488,-9.598806,-2.125922,0.004522,0.000280,0.192887,-0.000259,22.542757,113.958778,5.521681,5
23.918032,-9.636382,-2.132874,0.004796,0.000290,0.182157,-0.000258,22.542756,113.958776,5.521777,5
23.941357,-9.672026,-2.139451,0.005267,0.000568,0.218583,-0.000315,22.542756,113.958775,5.521881,5
23.958196,-9.705050,-2.145521,0.005907,0.003928,0.634050,-0.000810,22.542756,113.958773,5.521998,5
23.977665,-9.734902,-2.150978,0.006776,0.004007,0.701617,-0.000910,22.542755,113.958771,5.522132,5
23.997920,-9.760911,-2.155689,0.007810,0.003234,0.489928,-0.000627,22.542755,113.958769,5.522286,5
24.017736,-9.782396,-2.159519,0.008931,0.003968,1.110966,-0.001440,22.542754,113.958767,5.522463,5
24.039245,-9.798853,-2.162366,0.010071,0.003821,1.169563,-0.001533,22.542754,113.958765,5.522664,5
24.057699,-9.809969,-2.164167,0.011167,0.003637,1.218741,-0.001625,22.542754,113.958763,5.522887,5
24.077957,-9.815559,-2.164884,0.012160,0.003232,1.296570,-0.001798,22.542753,113.958761,5.523131,5
24.098383,-9.815509,-2.164492,0.013021,0.003435,1.260765,-0.001714,22.542753,113.958759,5.523393,5
24.117653,-9.809712,-2.162972,0.013711,0.002249,1.449907,-0.002239,22.542752,113.958757,5.523670,5
24.139089,-9.798198,-2.160326,0.014217,0.001908,1.444308,-0.002343,22.542752,113.958755,5.523958,5
24.157926,-9.781142,-2.156589,0.014518,0.001564,1.405680,-0.002423,22.542752,113.958754,5.524254,5
24.177932,-9.758797,-2.151811,0.014592,0.001733,1.427822,-0.002386,22.542751,113.958752,5.524551,5
24.198136,-9.731197,-2.145997,0.014303,0.001096,1.399531,-0.002585,22.542751,113.958750,5.524845,5
24.217720,-9.697714,-2.139022,0.013955,0.002697,1.381569,-0.002035,22.542750,113.958748,5.525131,5
24.238985,-9.657474,-2.130709,0.013351,-0.000772,1.938179,-0.002993,22.542750,113.958746,5.525405,5
24.257592,-9.610179,-2.120997,0.012580,-0.000310,1.875937,-0.002939,22.542750,113.958744,5.525665,5
24.277488,-9.556134,-2.109945,0.011598,-0.002486,1.790155,-0.003223,22.542749,113.958742,5.525905,5
24.297450,-9.495791,-2.097638,0.010320,-0.003156,1.700146,-0.003315,22.542749,113.958740,5.526120,5
24.317586,-9.429436,-2.084132,0.008798,-0.002835,1.738058,-0.003272,22.542749,113.958739,5.526304,5
24.338706,-9.357238,-2.069460,0.007078,-0.001683,1.909850,-0.003108,22.542748,113.958737,5.526454,5
24.357451,-9.279424,-2.053663,0.005228,-0.004976,1.517113,-0.003442,22.542748,113.958735,5.526567,5
24.377483,-9.196325,-2.036808,0.003316,-0.005546,1.402849,-0.003440,22.542747,113.958733,5.526640,5
24.397458,-9.108395,-2.018981,0.001431,-0.004365,1.603088,-0.003419,22.542747,113.958731,5.526674,5
24.417388,-9.016265,-2.000306,-0.000391,-0.006715,1.070321,-0.003343,22.542747,113.958730,5.526671,5
24.438787,-8.920567,-1.980906,-0.002131,-0.006911,0.993971,-0.003307,22.542746,113.958728,5.526632,5
